,person,data_set,data_store,data_size,query,trial,response_time
280,Tjerk,arrest_db,relational,80000,6,8,364.0589714050293
281,Tjerk,arrest_db,relational,80000,6,9,344.1128730773926
282,Tjerk,arrest_db,relational,80000,6,10,343.11723709106445
283,Tjerk,arrest_db,relational,80000,7,1,436.86485290527344
284,Tjerk,arrest_db,relational,80000,7,2,436.86509132385254
285,Tjerk,arrest_db,relational,80000,7,3,435.8663558959961
286,Tjerk,arrest_db,relational,80000,7,4,435.8375072479248
287,Tjerk,arrest_db,relational,80000,7,5,450.7918357849121
288,Tjerk,arrest_db,relational,80000,7,6,432.8148365020752
289,Tjerk,arrest_db,relational,80000,7,7,428.87306213378906
290,Tjerk,arrest_db,relational,80000,7,8,430.88436126708984
291,Tjerk,arrest_db,relational,80000,7,9,430.8452606201172
292,Tjerk,arrest_db,relational,80000,7,10,434.83662605285645
293,Tjerk,arrest_db,relational,80000,8,1,225.36301612854004
294,Tjerk,arrest_db,relational,80000,8,2,226.14359855651855
295,Tjerk,arrest_db,relational,80000,8,3,224.45392608642578
296,Tjerk,arrest_db,relational,80000,8,4,227.42533683776855
297,Tjerk,arrest_db,relational,80000,8,5,224.45344924926758
298,Tjerk,arrest_db,relational,80000,8,6,222.4597930908203
299,Tjerk,arrest_db,relational,80000,8,7,224.41864013671875
300,Tjerk,arrest_db,relational,80000,8,8,227.3709774017334
301,Tjerk,arrest_db,relational,80000,8,9,226.51314735412598
302,Tjerk,arrest_db,relational,80000,8,10,226.64785385131836
303,Tjerk,arrest_db,relational,80000,9,1,417.91772842407227
304,Tjerk,arrest_db,relational,80000,9,2,421.8730926513672
305,Tjerk,arrest_db,relational,80000,9,3,445.80745697021484
306,Tjerk,arrest_db,relational,80000,9,4,420.87435722351074
307,Tjerk,arrest_db,relational,80000,9,5,414.8900508880615
308,Tjerk,arrest_db,relational,80000,9,6,410.9344482421875
309,Tjerk,arrest_db,relational,80000,9,7,427.81829833984375
310,Tjerk,arrest_db,relational,80000,9,8,411.8978977203369
311,Tjerk,arrest_db,relational,80000,9,9,419.8770523071289
312,Tjerk,arrest_db,relational,80000,9,10,423.86627197265625
313,Tjerk,arrest_db,relational,80000,10,1,9.033679962158203
314,Tjerk,arrest_db,relational,80000,10,2,10.971546173095703
315,Tjerk,arrest_db,relational,80000,10,3,8.949756622314453
316,Tjerk,arrest_db,relational,80000,10,4,9.997367858886719
317,Tjerk,arrest_db,relational,80000,10,5,9.030818939208984
318,Tjerk,arrest_db,relational,80000,10,6,9.028911590576172
319,Tjerk,arrest_db,relational,80000,10,7,8.031368255615234
320,Tjerk,arrest_db,relational,80000,10,8,8.941650390625
321,Tjerk,arrest_db,relational,80000,10,9,8.943557739257812
322,Tjerk,arrest_db,relational,80000,10,10,8.943319320678711
323,Tjerk,arrest_db,relational,80000,11,1,330.1372528076172
324,Tjerk,arrest_db,relational,80000,11,2,329.1356563568115
325,Tjerk,arrest_db,relational,80000,11,3,361.055850982666
326,Tjerk,arrest_db,relational,80000,11,4,331.09402656555176
327,Tjerk,arrest_db,relational,80000,11,5,334.15937423706055
328,Tjerk,arrest_db,relational,80000,11,6,331.36653900146484
329,Tjerk,arrest_db,relational,80000,11,7,328.1140327453613
