,person,data_set,data_store,data_size,query,trial,response_time
91,felix,arrest_db,relational,50000,10,1,10.823965072631836
92,felix,arrest_db,relational,50000,10,2,11.157035827636719
93,felix,arrest_db,relational,50000,10,3,10.530233383178711
94,felix,arrest_db,relational,50000,10,4,10.957956314086914
95,felix,arrest_db,relational,50000,10,5,10.776042938232422
96,felix,arrest_db,relational,50000,10,6,10.259866714477539
97,felix,arrest_db,relational,50000,10,7,10.52999496459961
98,felix,arrest_db,relational,50000,10,8,11.521100997924805
99,felix,arrest_db,relational,50000,10,9,9.64498519897461
100,felix,arrest_db,relational,50000,10,10,10.683059692382812
101,felix,arrest_db,relational,50000,11,1,534.0940952301025
102,felix,arrest_db,relational,50000,11,2,524.8250961303711
103,felix,arrest_db,relational,50000,11,3,537.6009941101074
104,felix,arrest_db,relational,50000,11,4,521.4691162109375
105,felix,arrest_db,relational,50000,11,5,530.9731960296631
106,felix,arrest_db,relational,50000,11,6,523.6380100250244
107,felix,arrest_db,relational,50000,11,7,540.5440330505371
108,felix,arrest_db,relational,50000,11,8,522.2768783569336
109,felix,arrest_db,relational,50000,11,9,535.0279808044434
110,felix,arrest_db,relational,50000,11,10,534.355878829956
111,felix,arrest_db,relational,60000,import,1,2640.5820846557617
112,felix,arrest_db,relational,60000,1,1,36.176204681396484
113,felix,arrest_db,relational,60000,1,2,32.610177993774414
114,felix,arrest_db,relational,60000,1,3,34.22999382019043
115,felix,arrest_db,relational,60000,1,4,32.15909004211426
116,felix,arrest_db,relational,60000,1,5,33.016204833984375
117,felix,arrest_db,relational,60000,1,6,32.1049690246582
118,felix,arrest_db,relational,60000,1,7,32.89222717285156
119,felix,arrest_db,relational,60000,1,8,32.95612335205078
120,felix,arrest_db,relational,60000,1,9,33.03217887878418
121,felix,arrest_db,relational,60000,1,10,31.903982162475586
122,felix,arrest_db,relational,60000,2,1,77.09884643554688
123,felix,arrest_db,relational,60000,2,2,78.40418815612793
124,felix,arrest_db,relational,60000,2,3,76.96676254272461
125,felix,arrest_db,relational,60000,2,4,75.94108581542969
126,felix,arrest_db,relational,60000,2,5,76.39026641845703
127,felix,arrest_db,relational,60000,2,6,74.58972930908203
128,felix,arrest_db,relational,60000,2,7,78.28617095947266
129,felix,arrest_db,relational,60000,2,8,76.39503479003906
130,felix,arrest_db,relational,60000,2,9,75.90293884277344
131,felix,arrest_db,relational,60000,2,10,74.80072975158691
132,felix,arrest_db,relational,60000,3,1,30.598878860473633
133,felix,arrest_db,relational,60000,3,2,30.379056930541992
134,felix,arrest_db,relational,60000,3,3,29.87217903137207
135,felix,arrest_db,relational,60000,3,4,30.356168746948242
136,felix,arrest_db,relational,60000,3,5,30.223846435546875
137,felix,arrest_db,relational,60000,3,6,30.192136764526367
138,felix,arrest_db,relational,60000,3,7,30.025959014892578
139,felix,arrest_db,relational,60000,3,8,29.738187789916992
140,felix,arrest_db,relational,60000,3,9,29.778242111206055
141,felix,arrest_db,relational,60000,3,10,29.84023094177246
142,felix,arrest_db,relational,60000,4,1,821.71630859375
143,felix,arrest_db,relational,60000,4,2,814.2762184143066
144,felix,arrest_db,relational,60000,4,3,813.7772083282471
145,felix,arrest_db,relational,60000,4,4,813.1210803985596
146,felix,arrest_db,relational,60000,4,5,813.4860992431641
147,felix,arrest_db,relational,60000,4,6,812.7658367156982
148,felix,arrest_db,relational,60000,4,7,812.4752044677734
149,felix,arrest_db,relational,60000,4,8,816.8089389801025
150,felix,arrest_db,relational,60000,4,9,820.6720352172852
151,felix,arrest_db,relational,60000,4,10,814.9139881134033
152,felix,arrest_db,relational,60000,5,1,128.39293479919434
153,felix,arrest_db,relational,60000,5,2,127.29501724243164
154,felix,arrest_db,relational,60000,5,3,126.9521713256836
155,felix,arrest_db,relational,60000,5,4,127.9759407043457
156,felix,arrest_db,relational,60000,5,5,128.72910499572754
157,felix,arrest_db,relational,60000,5,6,126.35302543640137
158,felix,arrest_db,relational,60000,5,7,127.82096862792969
159,felix,arrest_db,relational,60000,5,8,129.79602813720703
160,felix,arrest_db,relational,60000,5,9,127.27189064025879
161,felix,arrest_db,relational,60000,5,10,126.94191932678223
162,felix,arrest_db,relational,60000,6,1,721.555233001709
163,felix,arrest_db,relational,60000,6,2,713.5810852050781
164,felix,arrest_db,relational,60000,6,3,709.571123123169
165,felix,arrest_db,relational,60000,6,4,707.6399326324463
166,felix,arrest_db,relational,60000,6,5,706.6278457641602
167,felix,arrest_db,relational,60000,6,6,714.9951457977295
168,felix,arrest_db,relational,60000,6,7,713.9670848846436
169,felix,arrest_db,relational,60000,6,8,714.9050235748291
170,felix,arrest_db,relational,60000,6,9,709.6037864685059
171,felix,arrest_db,relational,60000,6,10,724.6098518371582
172,felix,arrest_db,relational,60000,7,1,895.6992626190186
173,felix,arrest_db,relational,60000,7,2,906.9581031799316
174,felix,arrest_db,relational,60000,7,3,903.2719135284424
175,felix,arrest_db,relational,60000,7,4,903.1810760498047
176,felix,arrest_db,relational,60000,7,5,935.0528717041016
177,felix,arrest_db,relational,60000,7,6,934.6699714660645
178,felix,arrest_db,relational,60000,7,7,81.38608932495117
179,felix,arrest_db,relational,60000,7,8,80.95788955688477
180,felix,arrest_db,relational,60000,7,9,81.4049243927002
181,felix,arrest_db,relational,60000,7,10,82.53002166748047
182,felix,arrest_db,relational,60000,8,1,244.93813514709473
183,felix,arrest_db,relational,60000,8,2,240.14616012573242
184,felix,arrest_db,relational,60000,8,3,242.07592010498047
185,felix,arrest_db,relational,60000,8,4,234.38000679016113
186,felix,arrest_db,relational,60000,8,5,239.5179271697998
187,felix,arrest_db,relational,60000,8,6,240.62013626098633
188,felix,arrest_db,relational,60000,8,7,236.555814743042
189,felix,arrest_db,relational,60000,8,8,235.3808879852295
190,felix,arrest_db,relational,60000,8,9,237.13302612304688
191,felix,arrest_db,relational,60000,8,10,237.3220920562744
192,felix,arrest_db,relational,60000,9,1,72.90196418762207
193,felix,arrest_db,relational,60000,9,2,68.7570571899414
194,felix,arrest_db,relational,60000,9,3,69.93412971496582
195,felix,arrest_db,relational,60000,9,4,70.00613212585449
196,felix,arrest_db,relational,60000,9,5,69.83399391174316
197,felix,arrest_db,relational,60000,9,6,69.25082206726074
198,felix,arrest_db,relational,60000,9,7,70.20306587219238
199,felix,arrest_db,relational,60000,9,8,71.51222229003906
200,felix,arrest_db,relational,60000,9,9,68.79687309265137
201,felix,arrest_db,relational,60000,9,10,68.82905960083008
202,felix,arrest_db,relational,60000,10,1,13.391971588134766
203,felix,arrest_db,relational,60000,10,2,12.988090515136719
204,felix,arrest_db,relational,60000,10,3,12.720108032226562
205,felix,arrest_db,relational,60000,10,4,12.334823608398438
206,felix,arrest_db,relational,60000,10,5,14.064788818359375
207,felix,arrest_db,relational,60000,10,6,12.40992546081543
208,felix,arrest_db,relational,60000,10,7,11.99483871459961
209,felix,arrest_db,relational,60000,10,8,11.852025985717773
210,felix,arrest_db,relational,60000,10,9,12.674808502197266
211,felix,arrest_db,relational,60000,10,10,11.893987655639648
212,felix,arrest_db,relational,60000,11,1,28.54299545288086
213,felix,arrest_db,relational,60000,11,2,28.707027435302734
214,felix,arrest_db,relational,60000,11,3,27.698993682861328
215,felix,arrest_db,relational,60000,11,4,29.046058654785156
216,felix,arrest_db,relational,60000,11,5,27.918100357055664
217,felix,arrest_db,relational,60000,11,6,27.894973754882812
218,felix,arrest_db,relational,60000,11,7,26.282072067260742
219,felix,arrest_db,relational,60000,11,8,25.793075561523438
220,felix,arrest_db,relational,60000,11,9,25.58588981628418
221,felix,arrest_db,relational,60000,11,10,25.763988494873047
222,felix,arrest_db,relational,80000,import,1,3709.6147537231445
223,felix,arrest_db,relational,80000,1,1,48.06399345397949
224,felix,arrest_db,relational,80000,1,2,42.50288009643555
225,felix,arrest_db,relational,80000,1,3,43.563127517700195
226,felix,arrest_db,relational,80000,1,4,42.58894920349121
227,felix,arrest_db,relational,80000,1,5,42.35506057739258
228,felix,arrest_db,relational,80000,1,6,42.68693923950195
229,felix,arrest_db,relational,80000,1,7,44.580698013305664
230,felix,arrest_db,relational,80000,1,8,44.31295394897461
231,felix,arrest_db,relational,80000,1,9,42.94395446777344
232,felix,arrest_db,relational,80000,1,10,42.85478591918945
233,felix,arrest_db,relational,80000,2,1,101.38583183288574
234,felix,arrest_db,relational,80000,2,2,104.00199890136719
235,felix,arrest_db,relational,80000,2,3,104.1109561920166
236,felix,arrest_db,relational,80000,2,4,106.20713233947754
237,felix,arrest_db,relational,80000,2,5,102.38909721374512
238,felix,arrest_db,relational,80000,2,6,103.84273529052734
239,felix,arrest_db,relational,80000,2,7,102.0669937133789
240,felix,arrest_db,relational,80000,2,8,103.86395454406738
241,felix,arrest_db,relational,80000,2,9,102.37789154052734
242,felix,arrest_db,relational,80000,2,10,104.15101051330566
243,felix,arrest_db,relational,80000,3,1,40.223121643066406
244,felix,arrest_db,relational,80000,3,2,39.285898208618164
245,felix,arrest_db,relational,80000,3,3,39.673805236816406
246,felix,arrest_db,relational,80000,3,4,40.702104568481445
247,felix,arrest_db,relational,80000,3,5,40.0540828704834
248,felix,arrest_db,relational,80000,3,6,39.977073669433594
249,felix,arrest_db,relational,80000,3,7,39.438724517822266
